task_id,team,role,user_id,task_name,description,priority,expected_duration,completion_time
42,Operations,Logistics Coordinator,118,Process documentation,Process documentation for operations team by logistics coordinator.,Low,1,0.5
43,Operations,Logistics Coordinator,59,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,2,2.12
44,Customer Support,Support Agent,184,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,1,2.03
45,Operations,Logistics Coordinator,15,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,4,3.29
46,Customer Support,Support Agent,94,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,1,5.5
47,Operations,Operations Associate,192,Resource planning,Resource planning for operations team by operations associate.,Medium,4,2.66
48,Engineering,QA Engineer,99,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,2,0.5
49,Engineering,Data Engineer,187,Write unit tests,Write unit tests for engineering team by data engineer.,Low,6,6.64
50,Engineering,Backend Engineer,15,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,8,8.6
51,Marketing,SEO Specialist,36,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,6,9.95
52,Marketing,SEO Specialist,151,Ad campaign optimization,Ad campaign optimization for marketing team by seo specialist.,Medium,3,7.8
53,Engineering,QA Engineer,87,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,8,11.95
54,Engineering,Backend Engineer,143,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,5,8.31
55,Marketing,Social Media Manager,55,Write blog post,Write blog post for marketing team by social media manager.,Low,2,4.12
56,Marketing,SEO Specialist,166,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,3,5.72
57,Engineering,QA Engineer,8,Integration testing,Integration testing for engineering team by qa engineer.,Low,2,0.5
58,Customer Support,Technical Support,118,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,1,0.5
59,Finance,Accountant,12,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,4,0.9
60,Operations,Operations Associate,160,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,6,8.41
61,Engineering,Backend Engineer,106,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,8,10.81
62,Engineering,Backend Engineer,148,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,5,6.48
63,Engineering,Backend Engineer,71,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,6,10.18
64,Finance,Financial Analyst,26,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,7,8.38
65,Customer Support,Technical Support,181,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,4,0.5
66,Engineering,Backend Engineer,95,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,7,9.64
67,Marketing,Social Media Manager,15,Schedule social posts,Schedule social posts for marketing team by social media manager.,Low,3,1.1
68,Marketing,SEO Specialist,130,Ad campaign optimization,Ad campaign optimization for marketing team by seo specialist.,Medium,8,5.63
69,Engineering,Backend Engineer,144,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,8,5.49
70,Finance,Financial Analyst,165,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,2,0.5
71,Engineering,Data Engineer,8,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,1,7.04
72,Marketing,SEO Specialist,60,Competitor research,Competitor research for marketing team by seo specialist.,Low,1,2.32
73,Finance,Accountant,130,Prepare monthly report,Prepare monthly report for finance team by accountant.,Medium,3,2.3
74,Marketing,Content Writer,200,Competitor research,Competitor research for marketing team by content writer.,Low,8,6.83
75,Marketing,Content Writer,132,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,2,3.67
76,Customer Support,Technical Support,110,Escalate request,Escalate request for customer support team by technical support.,Low,4,3.45
77,Operations,Operations Associate,66,Process documentation,Process documentation for operations team by operations associate.,Low,7,7.75
78,Engineering,Data Engineer,137,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,2,1.91
79,Engineering,Data Engineer,50,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,7,10.98
80,Engineering,Backend Engineer,185,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,2,6.14
81,Operations,Operations Associate,162,Resource planning,Resource planning for operations team by operations associate.,Medium,3,8.65
82,Customer Support,Technical Support,187,Resolve technical issue,Resolve technical issue for customer support team by technical support.,High,7,5.14
83,Engineering,Frontend Engineer,149,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,1,0.5
84,Engineering,Frontend Engineer,200,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,5,10.59
85,Engineering,Frontend Engineer,114,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,6,9.99
86,Operations,Logistics Coordinator,75,Process documentation,Process documentation for operations team by logistics coordinator.,Low,6,10.09
87,Engineering,Backend Engineer,142,Implement new endpoint,Implement new endpoint for engineering team by backend engineer.,Low,4,4.14
88,Finance,Accountant,184,Variance analysis,Variance analysis for finance team by accountant.,Medium,5,7.83
89,Customer Support,Technical Support,115,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,2,0.5
90,Engineering,Data Engineer,20,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,6,5.19
91,Operations,Operations Associate,173,Process documentation,Process documentation for operations team by operations associate.,Low,4,5.37
92,Operations,Logistics Coordinator,42,Process documentation,Process documentation for operations team by logistics coordinator.,Low,2,1.84
93,Customer Support,Technical Support,185,Escalate request,Escalate request for customer support team by technical support.,Low,2,3.68
94,Engineering,QA Engineer,198,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,6,8.12
95,Customer Support,Technical Support,198,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,4,5.93
96,Operations,Operations Associate,20,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,3,6.32
97,Marketing,Social Media Manager,169,Schedule social posts,Schedule social posts for marketing team by social media manager.,Low,7,7.79
98,Customer Support,Technical Support,134,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,7,7.62
99,Marketing,Content Writer,50,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,1,0.5
100,Finance,Accountant,192,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,1,1.39
101,Finance,Financial Analyst,163,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,6,5.51
102,Engineering,Data Engineer,198,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,3,5.68
103,Engineering,Frontend Engineer,161,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,8,14.91
104,Customer Support,Support Agent,10,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,7,5.62
105,Marketing,Content Writer,37,Write blog post,Write blog post for marketing team by content writer.,Low,6,5.21
106,Marketing,SEO Specialist,84,Write blog post,Write blog post for marketing team by seo specialist.,Low,8,8.2
107,Engineering,Frontend Engineer,18,Integration testing,Integration testing for engineering team by frontend engineer.,Low,6,7.6
108,Operations,Logistics Coordinator,1,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,7,14.0
109,Marketing,Social Media Manager,140,Schedule social posts,Schedule social posts for marketing team by social media manager.,Low,1,0.5
110,Marketing,SEO Specialist,35,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,3,3.6
111,Engineering,QA Engineer,76,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,5,0.5
112,Finance,Financial Analyst,184,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,7,6.45
113,Engineering,Data Engineer,132,Database schema update,Database schema update for engineering team by data engineer.,Medium,1,0.92
114,Engineering,Backend Engineer,167,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,1,6.71
115,Finance,Accountant,37,Invoice processing,Invoice processing for finance team by accountant.,Low,3,2.96
116,Finance,Financial Analyst,193,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,8,8.61
117,Engineering,Frontend Engineer,152,Refactor UI component,Refactor UI component for engineering team by frontend engineer.,Low,5,8.06
118,Engineering,Frontend Engineer,44,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,8,7.96
119,Customer Support,Support Agent,175,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,3,7.92
120,Engineering,Frontend Engineer,190,Write unit tests,Write unit tests for engineering team by frontend engineer.,Low,5,4.76
121,Marketing,SEO Specialist,91,Competitor research,Competitor research for marketing team by seo specialist.,Low,3,0.5
122,Engineering,QA Engineer,192,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,8,12.4
123,Operations,Operations Associate,86,Resource planning,Resource planning for operations team by operations associate.,Medium,7,3.03
124,Finance,Financial Analyst,192,Prepare monthly report,Prepare monthly report for finance team by financial analyst.,Medium,8,9.8
125,Engineering,Frontend Engineer,27,Integration testing,Integration testing for engineering team by frontend engineer.,Low,8,10.94
126,Engineering,QA Engineer,83,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,3,3.2
127,Finance,Accountant,93,Invoice processing,Invoice processing for finance team by accountant.,Low,1,0.5
128,Engineering,QA Engineer,105,Database schema update,Database schema update for engineering team by qa engineer.,Medium,3,4.95
129,Operations,Operations Associate,161,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,6,7.28
130,Customer Support,Support Agent,149,Escalate request,Escalate request for customer support team by support agent.,Low,7,8.01
131,Operations,Operations Associate,86,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,2,2.05
132,Engineering,Backend Engineer,192,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,5,5.74
133,Customer Support,Support Agent,79,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,8,9.07
134,Customer Support,Support Agent,178,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,4,1.89
135,Engineering,Frontend Engineer,169,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,5,10.92
136,Engineering,QA Engineer,183,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,3,1.77
137,Engineering,QA Engineer,123,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,1,1.94
138,Engineering,Data Engineer,143,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,2,3.51
139,Operations,Logistics Coordinator,97,Inventory check,Inventory check for operations team by logistics coordinator.,Low,2,3.98
140,Engineering,QA Engineer,64,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,8,7.73
141,Engineering,Frontend Engineer,176,ETL batch debugging,ETL batch debugging for engineering team by frontend engineer.,High,6,2.94
142,Engineering,Backend Engineer,10,Database schema update,Database schema update for engineering team by backend engineer.,Medium,2,3.24
143,Marketing,Content Writer,47,Competitor research,Competitor research for marketing team by content writer.,Low,8,8.0
144,Marketing,Content Writer,35,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,4,4.32
145,Marketing,SEO Specialist,159,Competitor research,Competitor research for marketing team by seo specialist.,Low,3,6.28
146,Customer Support,Technical Support,96,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,2,3.91
147,Engineering,Frontend Engineer,10,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,5,5.36
148,Engineering,QA Engineer,187,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,8,16.12
149,Engineering,QA Engineer,165,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,7,14.95
150,Engineering,QA Engineer,22,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,7,8.17
151,Marketing,Content Writer,120,Keyword research,Keyword research for marketing team by content writer.,Low,8,13.47
152,Engineering,Frontend Engineer,84,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,2,2.8
153,Finance,Financial Analyst,92,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,8,9.92
154,Engineering,Data Engineer,43,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,5,7.94
155,Engineering,QA Engineer,199,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,1,5.99
156,Finance,Financial Analyst,127,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,5,3.81
157,Engineering,Backend Engineer,89,Integration testing,Integration testing for engineering team by backend engineer.,Low,4,3.7
158,Engineering,Data Engineer,107,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,4,8.3
159,Engineering,Frontend Engineer,4,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,6,5.13
160,Engineering,Data Engineer,89,Database schema update,Database schema update for engineering team by data engineer.,Medium,1,7.16
161,Engineering,Backend Engineer,140,Database schema update,Database schema update for engineering team by backend engineer.,Medium,6,8.73
162,Engineering,Data Engineer,130,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,4,6.32
163,Marketing,SEO Specialist,5,Write blog post,Write blog post for marketing team by seo specialist.,Low,1,5.08
164,Customer Support,Technical Support,115,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,7,11.1
165,Finance,Accountant,36,Create budget forecast,Create budget forecast for finance team by accountant.,Low,6,9.27
166,Engineering,QA Engineer,91,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,7,12.85
167,Engineering,Backend Engineer,11,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,4,8.06
168,Engineering,Data Engineer,69,Database schema update,Database schema update for engineering team by data engineer.,Medium,1,0.98
169,Marketing,Content Writer,59,Email campaign setup,Email campaign setup for marketing team by content writer.,Medium,6,8.7
170,Engineering,Frontend Engineer,116,ETL batch debugging,ETL batch debugging for engineering team by frontend engineer.,High,4,2.42
171,Marketing,SEO Specialist,181,Write blog post,Write blog post for marketing team by seo specialist.,Low,2,0.5
172,Engineering,QA Engineer,149,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,4,7.58
173,Engineering,Data Engineer,22,Database schema update,Database schema update for engineering team by data engineer.,Medium,5,6.02
174,Finance,Accountant,70,Create budget forecast,Create budget forecast for finance team by accountant.,Low,3,0.5
175,Operations,Logistics Coordinator,164,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,2,1.81
176,Customer Support,Support Agent,73,Respond to ticket,Respond to ticket for customer support team by support agent.,Low,7,11.29
177,Engineering,Frontend Engineer,32,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,7,10.94
178,Engineering,Frontend Engineer,115,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,2,5.35
179,Operations,Logistics Coordinator,86,Process documentation,Process documentation for operations team by logistics coordinator.,Low,5,7.87
180,Engineering,Backend Engineer,137,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,6,2.74
181,Customer Support,Support Agent,52,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,2,0.5
182,Engineering,Backend Engineer,115,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,4,6.43
183,Engineering,Data Engineer,77,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,5,4.0
184,Engineering,Frontend Engineer,26,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,1,1.6
185,Engineering,Frontend Engineer,12,Refactor UI component,Refactor UI component for engineering team by frontend engineer.,Low,8,10.58
186,Finance,Accountant,59,Invoice processing,Invoice processing for finance team by accountant.,Low,2,0.53
187,Customer Support,Technical Support,141,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,6,9.76
188,Engineering,QA Engineer,67,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,3,3.85
189,Operations,Logistics Coordinator,34,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,6,6.08
190,Engineering,Backend Engineer,149,Database schema update,Database schema update for engineering team by backend engineer.,Medium,5,5.92
191,Operations,Logistics Coordinator,144,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,1,2.45
192,Customer Support,Support Agent,168,Respond to ticket,Respond to ticket for customer support team by support agent.,Low,7,9.63
193,Engineering,Data Engineer,35,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,5,7.05
194,Engineering,QA Engineer,152,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,7,5.57
195,Operations,Operations Associate,167,Resource planning,Resource planning for operations team by operations associate.,Medium,4,6.49
196,Engineering,Data Engineer,56,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,3,0.5
197,Marketing,Social Media Manager,55,Write blog post,Write blog post for marketing team by social media manager.,Low,5,4.59
198,Marketing,Social Media Manager,64,Competitor research,Competitor research for marketing team by social media manager.,Low,6,10.08
199,Customer Support,Technical Support,60,Escalate request,Escalate request for customer support team by technical support.,Low,7,12.56
200,Engineering,Data Engineer,194,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,2,7.6
201,Engineering,Frontend Engineer,192,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,8,9.42
202,Engineering,Frontend Engineer,182,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,4,4.17
203,Marketing,Content Writer,118,Competitor research,Competitor research for marketing team by content writer.,Low,8,8.6
204,Engineering,QA Engineer,72,Integration testing,Integration testing for engineering team by qa engineer.,Low,1,0.5
205,Finance,Financial Analyst,182,Variance analysis,Variance analysis for finance team by financial analyst.,Medium,8,7.63
206,Operations,Logistics Coordinator,44,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,8,11.02
207,Operations,Operations Associate,134,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,8,7.79
208,Engineering,Frontend Engineer,140,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,6,0.5
209,Operations,Logistics Coordinator,138,Process documentation,Process documentation for operations team by logistics coordinator.,Low,3,0.5
210,Operations,Logistics Coordinator,5,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,7,9.69
211,Engineering,Frontend Engineer,75,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,3,2.75
212,Engineering,QA Engineer,36,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,7,4.71
213,Engineering,Frontend Engineer,24,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,1,1.44
214,Finance,Financial Analyst,171,Reconcile transactions,Reconcile transactions for finance team by financial analyst.,Low,2,2.33
215,Engineering,Frontend Engineer,167,Integration testing,Integration testing for engineering team by frontend engineer.,Low,8,11.44
216,Operations,Operations Associate,135,Shipment scheduling,Shipment scheduling for operations team by operations associate.,Low,1,5.83
217,Marketing,Content Writer,81,Write blog post,Write blog post for marketing team by content writer.,Low,8,8.13
218,Engineering,QA Engineer,192,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,7,5.41
219,Engineering,Backend Engineer,55,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,6,4.55
220,Engineering,QA Engineer,184,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,5,7.5
221,Engineering,Backend Engineer,194,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,8,3.81
222,Engineering,QA Engineer,50,Integration testing,Integration testing for engineering team by qa engineer.,Low,3,4.74
223,Marketing,Content Writer,16,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,6,9.2
224,Engineering,QA Engineer,106,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,4,7.26
225,Operations,Operations Associate,121,Process documentation,Process documentation for operations team by operations associate.,Low,1,0.5
226,Operations,Operations Associate,197,Process documentation,Process documentation for operations team by operations associate.,Low,2,7.22
227,Finance,Financial Analyst,46,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,8,5.86
228,Engineering,Data Engineer,133,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,2,1.82
229,Engineering,Backend Engineer,193,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,5,4.78
230,Engineering,Backend Engineer,41,Integration testing,Integration testing for engineering team by backend engineer.,Low,7,10.55
231,Customer Support,Technical Support,17,Live chat assistance,Live chat assistance for customer support team by technical support.,Low,6,13.41
232,Engineering,Frontend Engineer,116,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,6,12.43
233,Operations,Logistics Coordinator,167,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,1,2.53
234,Customer Support,Technical Support,141,Resolve technical issue,Resolve technical issue for customer support team by technical support.,High,8,9.34
235,Customer Support,Support Agent,19,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,7,1.77
236,Marketing,SEO Specialist,39,Keyword research,Keyword research for marketing team by seo specialist.,Low,2,7.71
237,Operations,Operations Associate,113,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,2,3.68
238,Engineering,QA Engineer,105,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,8,9.32
239,Engineering,Backend Engineer,114,Implement new endpoint,Implement new endpoint for engineering team by backend engineer.,Low,5,3.04
240,Finance,Accountant,96,Create budget forecast,Create budget forecast for finance team by accountant.,Low,1,4.04
241,Engineering,QA Engineer,104,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,2,3.17
242,Finance,Financial Analyst,190,Invoice processing,Invoice processing for finance team by financial analyst.,Low,1,0.5
243,Engineering,QA Engineer,63,Fix backend API bug,Fix backend API bug for engineering team by qa engineer.,High,7,7.03
244,Operations,Operations Associate,138,Resource planning,Resource planning for operations team by operations associate.,Medium,2,1.2
245,Engineering,Backend Engineer,144,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,8,6.46
246,Finance,Accountant,72,Variance analysis,Variance analysis for finance team by accountant.,Medium,6,8.32
247,Marketing,Content Writer,87,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,5,1.5
248,Marketing,Social Media Manager,116,Ad campaign optimization,Ad campaign optimization for marketing team by social media manager.,Medium,2,0.5
249,Engineering,QA Engineer,198,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,7,5.25
250,Engineering,Frontend Engineer,117,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,3,5.22
251,Marketing,SEO Specialist,14,Email campaign setup,Email campaign setup for marketing team by seo specialist.,Medium,4,5.76
252,Operations,Operations Associate,128,Vendor follow-up,Vendor follow-up for operations team by operations associate.,Low,8,9.83
253,Marketing,SEO Specialist,9,Keyword research,Keyword research for marketing team by seo specialist.,Low,3,3.01
254,Engineering,Data Engineer,69,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,3,3.96
255,Engineering,Data Engineer,113,Database schema update,Database schema update for engineering team by data engineer.,Medium,6,6.98
256,Engineering,Frontend Engineer,25,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,5,5.26
257,Engineering,QA Engineer,90,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,5,13.04
258,Engineering,Data Engineer,196,Integration testing,Integration testing for engineering team by data engineer.,Low,6,9.37
259,Marketing,Content Writer,168,Email campaign setup,Email campaign setup for marketing team by content writer.,Medium,2,5.4
260,Engineering,Frontend Engineer,68,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,5,2.3
261,Finance,Accountant,124,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,5,7.45
262,Engineering,Data Engineer,31,Integration testing,Integration testing for engineering team by data engineer.,Low,3,5.16
263,Engineering,Data Engineer,69,Write frontend feature,Write frontend feature for engineering team by data engineer.,Low,6,5.07
264,Operations,Logistics Coordinator,79,Process documentation,Process documentation for operations team by logistics coordinator.,Low,1,0.5
265,Engineering,Backend Engineer,34,Data pipeline monitoring,Data pipeline monitoring for engineering team by backend engineer.,Low,6,12.56
266,Customer Support,Support Agent,176,Escalate request,Escalate request for customer support team by support agent.,Low,2,6.1
